answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
4,306,4,"Friendships are built on trust, sharing, respect, empathy and solidarity",0,72,,What are friendships built on?,,"Friendships are built on trust, sharing, respect, empathy and solidarity. Friends can influence one another positively and negatively. Good friends will always care for you and may show you the correct path in life. They may be those who will become friends with you for their personal needs or with some different intentions. So, you have to be careful while selecting yo"
5,306,5,Friends can influence one another positively and negatively,74,133,,How can friends influence one another?,,"Friendships are built on trust, sharing, respect, empathy and solidarity. Friends can influence one another positively and negatively. Good friends will always care for you and may show you the correct path in life. They may be those who will become friends with you for their personal needs or with some different intentions. So, you have to be careful while selecting your friends. Girls and boys can be excellent friends with each"
6,306,6,It's also good to have a friend of the opposite gender which provides with you a different perspective in life,497,607,,What is the importance of having a friend of the opposite gender?,,"rect path in life. They may be those who will become friends with you for their personal needs or with some different intentions. So, you have to be careful while selecting your friends. Girls and boys can be excellent friends with each other as long as they respect each other and maintain privacy. It's also good to have a friend of the opposite gender which provides with you a different perspective in life. Some friends are good for having a laugh with or sharing your favourite hobbies. And other friends can be there when you want to pour your heart out. The number of friends you have is not important. What matters is having friends that you are close to who can support you and wont try to hurt you o"
7,306,7,The number of friends you have is not important. What matters is having friends that you are close to who can support you and wont try to hurt you or bully you,759,918,,"What matters more, the number of friends or the quality of friends?",,"pect each other and maintain privacy. It's also good to have a friend of the opposite gender which provides with you a different perspective in life. Some friends are good for having a laugh with or sharing your favourite hobbies. And other friends can be there when you want to pour your heart out. The number of friends you have is not important. What matters is having friends that you are close to who can support you and wont try to hurt you or bully you. Be careful when choosing your friends, because a good friend will always care for you. A good friend will help you succeed and steer you in the correct direction. While a lousy friend may cause trouble for you. Tips to make friends: 1. Look out for people who have similar interests and hobbies. Mo"
8,306,8," Tips to make friends: 1. Look out for people who have similar interests and hobbies. Most friendships start because people have things in common. 2. Go out and meet them. Sometimes we get so busy with our schedules that we don't get time to meet and talk with people. So you can meet people at some groups get-together party, etc. 3. You can always start a conversation with an introduction, greetings, or by asking, ""how are you? "" never be shy about talking; be confident and have a smiling face. 4. It is also imperative to be a good listener. 5. Compliment them. Don't be a miser about it. You can always compliment your friend about his or her looks, style, intelligence, clothes, skills, humour, etc. 6. Not everyone can be the same as you. Everyone is different, so accept others as they are. Dont try to change them. 7. Always share your food, meals, or belongings with your friends. Sharing is caring. 8. A person who helps others has a lot of friends who help him back later. 9. Be a loyal and trustworthy person",1130,2153,,What are some tips to make friends?,," friends that you are close to who can support you and wont try to hurt you or bully you. Be careful when choosing your friends, because a good friend will always care for you. A good friend will help you succeed and steer you in the correct direction. While a lousy friend may cause trouble for you. Tips to make friends: 1. Look out for people who have similar interests and hobbies. Most friendships start because people have things in common. 2. Go out and meet them. Sometimes we get so busy with our schedules that we don't get time to meet and talk with people. So you can meet people at some groups get-together party, etc. 3. You can always start a conversation with an introduction, greetings, or by asking, ""how are you? "" never be shy about talking; be confident and have a smiling face. 4. It is also imperative to be a good listener. 5. Compliment them. Don't be a miser about it. You can always compliment your friend about his or her looks, style, intelligence, clothes, skills, humour, etc. 6. Not everyone can be the same as you. Everyone is different, so accept others as they are. Dont try to change them. 7. Always share your food, meals, or belongings with your friends. Sharing is caring. 8. A person who helps others has a lot of friends who help him back later. 9. Be a loyal and trustworthy person."
9,306,9,"You can always start a conversation with an introduction, greetings, or by asking, ""how are you? "" never be shy about talking; be confident and have a smiling face",1465,1628,,How can you start a conversation with someone you want to be friends with?,,"for people who have similar interests and hobbies. Most friendships start because people have things in common. 2. Go out and meet them. Sometimes we get so busy with our schedules that we don't get time to meet and talk with people. So you can meet people at some groups get-together party, etc. 3. You can always start a conversation with an introduction, greetings, or by asking, ""how are you? "" never be shy about talking; be confident and have a smiling face. 4. It is also imperative to be a good listener. 5. Compliment them. Don't be a miser about it. You can always compliment your friend about his or her looks, style, intelligence, clothes, skills, humour, etc. 6. Not everyone can be the same as you. Everyone is different, so accept others as they ar"
10,306,10,It is also imperative to be a good listener,1633,1676,,What is the importance of being a good listener in a friendship?,,"ur schedules that we don't get time to meet and talk with people. So you can meet people at some groups get-together party, etc. 3. You can always start a conversation with an introduction, greetings, or by asking, ""how are you? "" never be shy about talking; be confident and have a smiling face. 4. It is also imperative to be a good listener. 5. Compliment them. Don't be a miser about it. You can always compliment your friend about his or her looks, style, intelligence, clothes, skills, humour, etc. 6. Not everyone can be the same as you. Everyone is different, so accept others as they are. Dont try to change them. 7. Always share your"
11,306,11,"Not everyone can be the same as you. Everyone is different, so accept others as they are. Dont try to change them",1841,1954,,Why should you accept others as they are in a friendship?,,"sking, ""how are you? "" never be shy about talking; be confident and have a smiling face. 4. It is also imperative to be a good listener. 5. Compliment them. Don't be a miser about it. You can always compliment your friend about his or her looks, style, intelligence, clothes, skills, humour, etc. 6. Not everyone can be the same as you. Everyone is different, so accept others as they are. Dont try to change them. 7. Always share your food, meals, or belongings with your friends. Sharing is caring. 8. A person who helps others has a lot of friends who help him back later. 9. Be a loyal and trustworthy person."
12,306,12,"Always share your food, meals, or belongings with your friends. Sharing is caring",1959,2040,,What does sharing signify in a friendship?,,"e a good listener. 5. Compliment them. Don't be a miser about it. You can always compliment your friend about his or her looks, style, intelligence, clothes, skills, humour, etc. 6. Not everyone can be the same as you. Everyone is different, so accept others as they are. Dont try to change them. 7. Always share your food, meals, or belongings with your friends. Sharing is caring. 8. A person who helps others has a lot of friends who help him back later. 9. Be a loyal and trustworthy person."
13,306,13,A person who helps others has a lot of friends who help him back later,2045,2115,,What is the benefit of helping others in a friendship?,,"iment your friend about his or her looks, style, intelligence, clothes, skills, humour, etc. 6. Not everyone can be the same as you. Everyone is different, so accept others as they are. Dont try to change them. 7. Always share your food, meals, or belongings with your friends. Sharing is caring. 8. A person who helps others has a lot of friends who help him back later. 9. Be a loyal and trustworthy person."
